id,abbr,VertexX,VertexY
0,AL,480,349
0,AL,477,339
0,AL,475,323
0,AL,475,314
0,AL,477,289
0,AL,475,277
0,AL,477,272
0,AL,509,270
0,AL,509,271
0,AL,509,272
0,AL,512,276
0,AL,514,282
0,AL,515,289
0,AL,516,294
0,AL,517,297
0,AL,519,303
0,AL,520,307
0,AL,523,310
0,AL,523,312
0,AL,524,312
0,AL,524,314
0,AL,523,318
0,AL,523,321
0,AL,523,321
0,AL,523,326
0,AL,524,329
0,AL,523,331
0,AL,524,331
0,AL,525,332
0,AL,525,336
0,AL,521,336
0,AL,515,336
0,AL,496,337
0,AL,488,339
0,AL,488,340
0,AL,490,342
0,AL,491,343
0,AL,492,349
0,AL,487,352
0,AL,486,352
0,AL,487,351
0,AL,487,349
0,AL,484,344
0,AL,483,344
0,AL,482,347
0,AL,481,349
0,AL,481,349
0,AL,480,349
1,AK,120,344
1,AK,119,408
1,AK,120,410
1,AK,123,410
1,AK,124,408
1,AK,127,408
1,AK,127,411
1,AK,132,416
1,AK,132,419
1,AK,134,416
1,AK,135,416
1,AK,135,415
1,AK,135,413
1,AK,138,413
1,AK,138,411
1,AK,142,414
1,AK,142,415
1,AK,143,416
1,AK,143,419
1,AK,146,420
1,AK,150,424
1,AK,151,428
1,AK,153,429
1,AK,154,431
1,AK,158,433
1,AK,162,436
1,AK,162,438
1,AK,163,440
1,AK,162,443
1,AK,161,446
1,AK,160,444
1,AK,158,441
1,AK,157,441
1,AK,154,440
1,AK,154,440
1,AK,155,443
1,AK,155,446
1,AK,154,446
1,AK,153,444
1,AK,152,443
1,AK,152,446
1,AK,153,447
1,AK,153,447
1,AK,153,447
1,AK,152,447
1,AK,152,446
1,AK,151,446
1,AK,151,443
1,AK,151,443
1,AK,150,441
1,AK,150,441
1,AK,150,443
1,AK,150,443
1,AK,149,441
1,AK,146,441
1,AK,146,441
1,AK,150,439
1,AK,149,439
1,AK,149,436
1,AK,146,436
1,AK,146,438
1,AK,145,438
1,AK,145,436
1,AK,144,431
1,AK,143,431
1,AK,144,436
1,AK,144,438
1,AK,143,436
1,AK,141,431
1,AK,140,431
1,AK,138,428
1,AK,136,427
1,AK,135,425
1,AK,135,424
1,AK,138,422
1,AK,136,422
1,AK,135,422
1,AK,132,420
1,AK,130,419
1,AK,127,416
1,AK,124,415
1,AK,124,413
1,AK,124,411
1,AK,123,413
1,AK,121,413
1,AK,119,413
1,AK,114,411
1,AK,110,411
1,AK,109,411
1,AK,105,407
1,AK,102,407
1,AK,101,404
1,AK,98,404
1,AK,96,405
1,AK,96,407
1,AK,96,405
1,AK,98,406
1,AK,96,408
1,AK,99,407
1,AK,100,408
1,AK,96,411
1,AK,95,411
1,AK,95,410
1,AK,94,408
1,AK,92,410
1,AK,91,408
1,AK,89,411
1,AK,87,413
1,AK,85,414
1,AK,81,414
1,AK,81,413
1,AK,84,411
1,AK,84,411
1,AK,83,410
1,AK,83,408
1,AK,85,405
1,AK,85,404
1,AK,85,404
1,AK,87,402
1,AK,89,403
1,AK,90,403
1,AK,90,402
1,AK,86,399
1,AK,83,403
1,AK,81,405
1,AK,79,407
1,AK,78,408
1,AK,76,410
1,AK,74,411
1,AK,74,413
1,AK,75,414
1,AK,75,415
1,AK,74,418
