LMT_Date,LMT_Time,Y,X,,,,,,,,,
04.02.2017,19:58:59,585592.3717,6545679.943,,,,,,,,,
04.02.2017,20:00:10,585592.3259,6545682.003,,,,,,,,,
04.02.2017,20:30:10,585662.933,6545392.46,,,,,,,,,
04.02.2017,21:00:07,585665.1048,6545393.433,,,,,,,,,
04.02.2017,21:30:11,585919.8431,6545391.288,,,,,,,,,
04.02.2017,22:00:12,585957.0754,6545423.194,,,,,,,,,
04.02.2017,22:30:48,586060.1554,6545454.443,,,,,,,,,
04.02.2017,23:00:11,586333.3045,6545777.534,,,,,,,,,
04.02.2017,23:30:11,586202.1536,6546327.154,,,,,,,,,
05.02.2017,00:00:26,586177.7218,6546627.059,,,,,,,,,
05.02.2017,00:30:03,586136.8956,6546710.689,,,,,,,,,
05.02.2017,01:00:11,586042.9483,6546791.138,,,,,,,,,
05.02.2017,01:30:30,586043.9059,6546790.413,,,,,,,,,
05.02.2017,02:00:19,586024.9478,6546782.379,,,,,,,,,
05.02.2017,02:30:10,585984.5298,6547054.24,,,,,,,,,
05.02.2017,03:00:11,586044.6583,6547248.863,,,,,,,,,
05.02.2017,03:30:10,586063.1057,6547234.969,,,,,,,,,
05.02.2017,04:00:06,586053.9917,6547248.815,,,,,,,,,
05.02.2017,04:30:11,585920.8911,6547314.207,,,,,,,,,
05.02.2017,05:00:14,585877.7199,6547320.107,,,,,,,,,
05.02.2017,05:30:48,585875.2805,6547323.718,,,,,,,,,
05.02.2017,06:00:11,585874.8445,6547323.965,,,,,,,,,
05.02.2017,06:30:11,585873.8957,6547325.849,,,,,,,,,
05.02.2017,07:00:10,585875.7534,6547323.617,,,,,,,,,
05.02.2017,07:30:03,585875.862,6547322.35,,,,,,,,,
05.02.2017,08:00:12,585879.592,6547319.035,,,,,,,,,
05.02.2017,08:30:29,585877.6102,6547275.905,,,,,,,,,
05.02.2017,09:00:10,586584.6966,6546307.239,,,,,,,,,
05.02.2017,09:30:11,586523.5842,6546396.126,,,,,,,,,
05.02.2017,10:00:12,586520.3918,6546398.449,,,,,,,,,
05.02.2017,10:30:28,586517.6296,6546401.039,,,,,,,,,
05.02.2017,11:00:10,586521.0766,6546404.504,,,,,,,,,
05.02.2017,11:30:09,586525.2556,6546400.431,,,,,,,,,
05.02.2017,12:00:12,586516.0081,6546410.094,,,,,,,,,
05.02.2017,12:30:30,586524.2714,6546403.863,,,,,,,,,
05.02.2017,13:00:20,586527.1248,6546401.041,,,,,,,,,
05.02.2017,13:30:30,586520.9563,6546398.106,,,,,,,,,
05.02.2017,14:00:19,586518.1861,6546399.013,,,,,,,,,
05.02.2017,14:30:30,586518.7969,6546404.787,,,,,,,,,
05.02.2017,15:00:18,586516.5853,6546405.361,,,,,,,,,
05.02.2017,15:30:11,586501.1254,6546315.956,,,,,,,,,
05.02.2017,16:00:11,586507.4671,6546340.31,,,,,,,,,
05.02.2017,16:30:30,586500.6019,6546331.844,,,,,,,,,
05.02.2017,17:00:19,586502.648,6546323.055,,,,,,,,,
05.02.2017,17:30:12,586500.8577,6546334.256,,,,,,,,,
05.02.2017,18:00:18,586505.1648,6546312.482,,,,,,,,,
05.02.2017,18:30:30,586811.5709,6545910.94,,,,,,,,,
05.02.2017,19:00:17,587028.3704,6545542.949,,,,,,,,,
05.02.2017,19:30:12,587022.8313,6545552.005,,,,,,,,,
05.02.2017,20:00:30,587025.212,6545543.725,,,,,,,,,
05.02.2017,20:30:18,587025.212,6545543.725,,,,,,,,,
05.02.2017,21:00:07,587024.3142,6545543.56,,,,,,,,,
05.02.2017,21:30:10,587027.0483,6545542.507,,,,,,,,,
05.02.2017,22:00:11,587026.0263,6545545.804,,,,,,,,,
05.02.2017,22:30:30,587023.4499,6545532.008,,,,,,,,,
05.02.2017,23:00:12,587022.0248,6545532.31,,,,,,,,,
05.02.2017,23:30:11,587022.5698,6545530.807,,,,,,,,,
06.02.2017,00:00:28,587025.1251,6545534.107,,,,,,,,,
06.02.2017,00:30:11,587023.6518,6545526.631,,,,,,,,,
06.02.2017,01:00:12,587028.6558,6545535.658,,,,,,,,,
06.02.2017,01:30:12,587027.38,6545533.167,,,,,,,,,
06.02.2017,02:00:11,587028.7451,6545533.743,,,,,,,,,
06.02.2017,02:30:11,587026.8487,6545535.84,,,,,,,,,
06.02.2017,03:00:30,587030.4687,6545535.476,,,,,,,,,
06.02.2017,03:30:10,587022.0213,6545520.778,,,,,,,,,
06.02.2017,04:00:11,587010.3626,6545522.654,,,,,,,,,
06.02.2017,04:30:05,587011.2311,6545524.367,,,,,,,,,
06.02.2017,05:00:12,587013.6996,6545517.537,,,,,,,,,
06.02.2017,05:30:30,587010.4402,6545521.252,,,,,,,,,
06.02.2017,06:00:12,587011.7024,6545522.573,,,,,,,,,
06.02.2017,06:30:11,587011.7024,6545522.573,,,,,,,,,
06.02.2017,07:00:12,587019.0029,6545507.228,,,,,,,,,
06.02.2017,07:30:13,587031.3549,6545536.153,,,,,,,,,
06.02.2017,08:00:30,587028.1477,6545537.307,,,,,,,,,
06.02.2017,08:30:11,587028.997,6545537.838,,,,,,,,,
06.02.2017,09:00:12,587029.4701,6545537.738,,,,,,,,,
06.02.2017,09:30:12,587028.5608,6545538.085,,,,,,,,,
06.02.2017,10:00:12,587029.4586,6545538.25,,,,,,,,,
06.02.2017,10:30:13,587026.3406,6545537.488,,,,,,,,,
06.02.2017,11:00:30,587029.5478,6545536.335,,,,,,,,,
06.02.2017,11:30:05,587031.6126,6545540.248,,,,,,,,,
06.02.2017,12:00:12,587039.5752,6545555.559,,,,,,,,,
06.02.2017,12:30:12,587023.5705,6545575.698,,,,,,,,,
06.02.2017,13:00:14,587018.6165,6545576.143,,,,,,,,,
06.02.2017,13:30:30,587019.4655,6545576.686,,,,,,,,,
06.02.2017,14:00:12,587021.3214,6545576.127,,,,,,,,,
06.02.2017,14:30:13,587023.0973,6545575.799,,,,,,,,,
06.02.2017,15:00:13,586999.1346,6545570.266,,,,,,,,,
06.02.2017,15:30:30,587034.7395,6545552.553,,,,,,,,,
06.02.2017,16:00:05,587043.395,6545548.136,,,,,,,,,
06.02.2017,16:30:05,587041.4774,6545552.95,,,,,,,,,
06.02.2017,17:00:13,587051.6202,6545543.453,,,,,,,,,
06.02.2017,17:30:06,587107.4766,6545545.596,,,,,,,,,
06.02.2017,18:00:13,587100.5547,6545480.494,,,,,,,,,
06.02.2017,18:30:13,587071.0677,6545468.094,,,,,,,,,
06.02.2017,19:00:06,587071.0211,6545470.154,,,,,,,,,
06.02.2017,19:30:19,587070.9747,6545472.203,,,,,,,,,
