LMT_Date,LMT_Time,Y,X,,,,,,,,,
07.11.2016,05:00:14,571518.8361,6552952.207,,,,,,,,,
07.11.2016,05:30:48,571522.0885,6552951.711,,,,,,,,,
07.11.2016,06:00:05,571521.6601,6552951.948,,,,,,,,,
07.11.2016,06:30:03,571531.9768,6552916.722,,,,,,,,,
07.11.2016,07:00:11,571690.7525,6552837.225,,,,,,,,,
07.11.2016,07:30:12,572426.4247,6553191.922,,,,,,,,,
07.11.2016,08:00:54,573082.5015,6553123.059,,,,,,,,,
07.11.2016,08:30:48,573342.4751,6552971.711,,,,,,,,,
07.11.2016,09:00:03,573592.5028,6553021.793,,,,,,,,,
07.11.2016,09:30:11,573974.8114,6552878.86,,,,,,,,,
07.11.2016,10:00:04,573966.1712,6552811.523,,,,,,,,,
07.11.2016,10:30:30,573942.1012,6552811.639,,,,,,,,,
07.11.2016,11:00:19,573942.6381,6552808.451,,,,,,,,,
07.11.2016,11:30:04,573943.6918,6552805.809,,,,,,,,,
07.11.2016,12:00:15,573960.6492,6552798.013,,,,,,,,,
07.11.2016,12:30:37,573954.0593,6552806.343,,,,,,,,,
07.11.2016,13:00:20,573960.679,6552796.465,,,,,,,,,
07.11.2016,13:30:06,573953.3294,6552778.765,,,,,,,,,
07.11.2016,14:00:29,574006.4251,6552730.42,,,,,,,,,
07.11.2016,14:30:12,573997.0526,6552709.45,,,,,,,,,
07.11.2016,15:00:15,573938.9249,6552754.244,,,,,,,,,
07.11.2016,15:30:48,573940.7041,6552755.593,,,,,,,,,
07.11.2016,16:00:11,573901.8886,6552798.041,,,,,,,,,
07.11.2016,16:30:12,574464.1998,6552570.16,,,,,,,,,
07.11.2016,17:00:04,574714.2014,6552422.789,,,,,,,,,
07.11.2016,17:30:13,574928.0951,6552564.505,,,,,,,,,
07.11.2016,18:00:30,574742.9073,6552516.533,,,,,,,,,
07.11.2016,18:30:11,574745.5851,6552515.872,,,,,,,,,
