LMT_Date,LMT_Time,Y,X,,,,,,,,,
22.01.2017,01:29:51,575386.0323,6552597.193,,,,,,,,,
22.01.2017,02:00:39,574926.8994,6552687.839,,,,,,,,,
22.01.2017,02:30:10,574877.7787,6552687.115,,,,,,,,,
22.01.2017,03:00:09,574878.5976,6552677.149,,,,,,,,,
22.01.2017,03:30:10,574844.9527,6552656.26,,,,,,,,,
22.01.2017,04:00:30,574791.0051,6552627.925,,,,,,,,,
22.01.2017,04:30:18,574798.8082,6552625.681,,,,,,,,,
22.01.2017,05:00:12,574801.1852,6552632.813,,,,,,,,,
22.01.2017,05:30:12,574796.5376,6552634.283,,,,,,,,,
22.01.2017,06:00:30,574783.3677,6552641.09,,,,,,,,,
22.01.2017,06:30:17,574776.3027,6552635.738,,,,,,,,,
22.01.2017,07:00:10,574763.5089,6552644.425,,,,,,,,,
22.01.2017,07:30:30,574771.0779,6552644.193,,,,,,,,,
22.01.2017,08:00:18,574762.1291,6552679.995,,,,,,,,,
22.01.2017,08:30:08,574752.8945,6552808.554,,,,,,,,,
22.01.2017,09:00:10,574726.5116,6552814.436,,,,,,,,,
22.01.2017,09:30:10,574611.0892,6552821.774,,,,,,,,,
22.01.2017,10:00:30,574617.9398,6552821.93,,,,,,,,,
22.01.2017,10:30:19,574621.4174,6552869.771,,,,,,,,,
22.01.2017,11:00:09,574629.2701,6552957.584,,,,,,,,,
22.01.2017,11:30:29,574586.6795,6552962.183,,,,,,,,,
22.01.2017,12:00:17,574587.6006,6552964.028,,,,,,,,,
22.01.2017,12:30:02,574591.8951,6552968.033,,,,,,,,,
22.01.2017,13:00:10,574596.5443,6552975.9,,,,,,,,,
22.01.2017,13:30:30,574594.8104,6552969.282,,,,,,,,,
22.01.2017,14:00:17,574598.5911,6552966.102,,,,,,,,,
22.01.2017,14:30:12,574598.0826,6552955.697,,,,,,,,,
22.01.2017,15:00:53,574589.0712,6552956.759,,,,,,,,,
22.01.2017,15:30:18,574593.0666,6552976.167,,,,,,,,,
22.01.2017,16:00:12,574597.1737,6552972.993,,,,,,,,,
22.01.2017,16:30:54,574589.5732,6552969.86,,,,,,,,,
22.01.2017,17:00:20,574618.9349,6552964.848,,,,,,,,,
22.01.2017,17:30:48,574632.3603,6552961.633,,,,,,,,,
22.01.2017,18:00:33,574625.9006,6552944.606,,,,,,,,,
22.01.2017,18:30:30,574617.6878,6552960.312,,,,,,,,,
22.01.2017,19:00:10,574615.6974,6552964.841,,,,,,,,,
22.01.2017,19:30:09,574616.4709,6552968.978,,,,,,,,,
22.01.2017,20:00:10,574613.4089,6552995.346,,,,,,,,,
22.01.2017,20:30:30,574616.0032,6552968.568,,,,,,,,,
22.01.2017,21:00:35,574621.5483,6552953.022,,,,,,,,,
22.01.2017,21:30:48,574621.1901,6552946.977,,,,,,,,,
22.01.2017,22:00:10,574601.1172,6552963.789,,,,,,,,,
22.01.2017,22:30:21,574590.4301,6552960.551,,,,,,,,,
22.01.2017,23:00:14,574571.1998,6552954.329,,,,,,,,,
22.01.2017,23:30:20,574595.3936,6552964.034,,,,,,,,,
23.01.2017,00:00:54,574585.8362,6552961.643,,,,,,,,,
23.01.2017,00:30:17,574613.5378,6552937.068,,,,,,,,,
23.01.2017,01:00:08,574622.3573,6552940.872,,,,,,,,,
23.01.2017,01:30:11,574623.2293,6552968.853,,,,,,,,,
23.01.2017,02:00:19,574615.5814,6552946.912,,,,,,,,,
23.01.2017,02:30:10,574610.6193,6552942.471,,,,,,,,,
23.01.2017,03:00:11,574620.108,6552945.752,,,,,,,,,
23.01.2017,03:30:13,574615.2143,6552938.672,,,,,,,,,
23.01.2017,04:00:46,574618.043,6552937.891,,,,,,,,,
23.01.2017,04:30:09,574619.8535,6552947.051,,,,,,,,,
23.01.2017,05:00:09,574627.8421,6552954.693,,,,,,,,,
23.01.2017,05:30:14,574635.0639,6552955.491,,,,,,,,,
23.01.2017,06:00:19,574623.5402,6552956.091,,,,,,,,,
23.01.2017,06:30:30,574625.2173,6552946.152,,,,,,,,,
23.01.2017,07:00:18,574635.224,6552942.826,,,,,,,,,
23.01.2017,07:30:05,574627.8018,6552933.167,,,,,,,,,
23.01.2017,08:00:30,574624.6693,6552939.557,,,,,,,,,
23.01.2017,08:30:18,574638.1125,6552966.992,,,,,,,,,
23.01.2017,09:00:27,574615.0123,6552970.32,,,,,,,,,
23.01.2017,09:30:17,574619.3556,6552974.46,,,,,,,,,
23.01.2017,10:00:09,574620.6594,6552982.563,,,,,,,,,
23.01.2017,10:30:01,574625.3622,6552978.521,,,,,,,,,
23.01.2017,11:00:10,574612.6748,6552987.41,,,,,,,,,
23.01.2017,11:30:31,574617.78,6552988.613,,,,,,,,,
23.01.2017,12:00:18,574609.84,6552979.356,,,,,,,,,
23.01.2017,12:31:21,574620.9909,6552957.234,,,,,,,,,
23.01.2017,13:00:26,574626.3601,6552954.876,,,,,,,,,
23.01.2017,13:30:11,574668.23,6552911.882,,,,,,,,,
23.01.2017,14:00:29,574667.9738,6552955.439,,,,,,,,,
23.01.2017,14:30:18,574667.7051,6552943.023,,,,,,,,,
23.01.2017,15:00:28,574661.3617,6552967.5,,,,,,,,,
23.01.2017,15:30:48,574661.1426,6552980.542,,,,,,,,,
23.01.2017,16:00:08,574659.0169,6552969.916,,,,,,,,,
23.01.2017,16:30:10,574663.8632,6552980.015,,,,,,,,,
23.01.2017,17:00:11,574626.2106,6552912.714,,,,,,,,,
23.01.2017,17:30:59,574653.5094,6552922.469,,,,,,,,,
23.01.2017,18:00:09,574681.0632,6552926.47,,,,,,,,,
23.01.2017,18:31:01,574624.2249,6552940.306,,,,,,,,,
23.01.2017,19:00:22,574607.2785,6552943.654,,,,,,,,,
23.01.2017,19:30:30,574611.9456,6552941.16,,,,,,,,,
23.01.2017,20:00:19,574607.7706,6552957.267,,,,,,,,,
23.01.2017,20:30:19,574585.9058,6552958.057,,,,,,,,,
23.01.2017,21:00:30,574583.5616,6552956.017,,,,,,,,,
23.01.2017,21:30:16,574585.2966,6552955.494,,,,,,,,,
23.01.2017,22:00:10,574585.3659,6552956.353,,,,,,,,,
23.01.2017,22:30:11,574573.2326,6552958.836,,,,,,,,,
23.01.2017,23:00:43,574638.3773,6552960.736,,,,,,,,,
23.01.2017,23:30:30,574632.8873,6552935.383,,,,,,,,,
24.01.2017,00:00:49,574620.7379,6552903.282,,,,,,,,,
24.01.2017,00:30:30,574655.1455,6552900.787,,,,,,,,,
24.01.2017,01:00:48,574631.3887,6552888.928,,,,,,,,,
24.01.2017,01:30:09,574630.7462,6552885.718,,,,,,,,,
24.01.2017,02:00:08,574626.6929,6552900.568,,,,,,,,,
24.01.2017,02:30:30,574628.4109,6552871.122,,,,,,,,,
24.01.2017,03:00:19,574630.5776,6552891.742,,,,,,,,,
24.01.2017,03:30:25,574653.2865,6552893.241,,,,,,,,,
24.01.2017,04:00:19,574664.354,6552884.577,,,,,,,,,
24.01.2017,04:30:16,574658.7836,6552889.616,,,,,,,,,
24.01.2017,05:00:08,574663.402,6552886.976,,,,,,,,,
24.01.2017,05:30:13,574639.1295,6552908.442,,,,,,,,,
24.01.2017,06:00:48,574663.0283,6552896.183,,,,,,,,,
24.01.2017,06:30:03,574662.9168,6552892.481,,,,,,,,,
24.01.2017,07:00:10,574662.4167,6552888.728,,,,,,,,,
24.01.2017,07:30:30,574666.4893,6552899.135,,,,,,,,,
24.01.2017,08:01:00,574679.7003,6552895.17,,,,,,,,,
24.01.2017,08:30:18,574695.1972,6552895.359,,,,,,,,,
24.01.2017,09:00:30,574691.8459,6552925.086,,,,,,,,,
