LMT_Date,LMT_Time,Y,X,,,,,,,,,
23/10/2016,23:00:28,574729.2476,6553068.858,,,,,,,,,
23/10/2016,23:30:15,574782.3118,6553169.951,,,,,,,,,
24/10/2016,00:00:15,574782.9484,6553164.326,,,,,,,,,
24/10/2016,00:30:15,574784.3443,6553184.753,,,,,,,,,
24/10/2016,01:00:14,574790.9287,6553179.121,,,,,,,,,
24/10/2016,01:30:15,574790.653,6553173.857,,,,,,,,,
24/10/2016,02:00:29,574794.0916,6553172.943,,,,,,,,,
24/10/2016,02:30:14,574789.771,6553172.659,,,,,,,,,
24/10/2016,03:00:08,574795.2058,6553167.216,,,,,,,,,
24/10/2016,03:30:24,574799.4215,6553149.049,,,,,,,,,
24/10/2016,04:00:23,574788.3602,6553176.843,,,,,,,,,
24/10/2016,04:30:14,574788.259,6553174.39,,,,,,,,,
24/10/2016,05:00:14,574756.3922,6553178.939,,,,,,,,,
24/10/2016,05:30:15,574712.4538,6553156.615,,,,,,,,,
24/10/2016,06:00:42,574615.3105,6553111.643,,,,,,,,,
24/10/2016,06:30:06,574610.0211,6553109.903,,,,,,,,,
24/10/2016,07:00:18,574604.8369,6553136.386,,,,,,,,,
24/10/2016,07:30:30,574599.7754,6553110.807,,,,,,,,,
24/10/2016,08:00:15,574609.4239,6553116.164,,,,,,,,,
24/10/2016,08:30:17,574591.073,6553094.205,,,,,,,,,
24/10/2016,09:01:24,574555.6463,6553060.427,,,,,,,,,
24/10/2016,09:31:04,574494.2049,6553068.282,,,,,,,,,
24/10/2016,10:00:06,574436.9754,6553032.657,,,,,,,,,
24/10/2016,10:30:07,574431.1886,6553027.598,,,,,,,,,
24/10/2016,11:00:48,574424.9212,6553033.738,,,,,,,,,
24/10/2016,11:30:06,574425.4836,6553027.777,,,,,,,,,
24/10/2016,12:00:07,574434.1315,6553035.409,,,,,,,,,
24/10/2016,12:30:15,574438.6482,6553030.316,,,,,,,,,
24/10/2016,13:00:15,574423.1161,6553036.11,,,,,,,,,
24/10/2016,13:30:30,574425.1776,6553040.027,,,,,,,,,
24/10/2016,14:00:14,574418.7018,6553036.514,,,,,,,,,
24/10/2016,14:30:07,574416.6706,6553032.81,,,,,,,,,
24/10/2016,15:00:16,574425.152,6553013.543,,,,,,,,,
24/10/2016,15:30:29,574416.6616,6553030.614,,,,,,,,,
24/10/2016,16:00:13,574421.3557,6553021.681,,,,,,,,,
24/10/2016,16:30:14,574419.1483,6553032.1,,,,,,,,,
24/10/2016,17:00:14,574418.3339,6553032.73,,,,,,,,,
24/10/2016,17:30:14,574417.9194,6553031.942,,,,,,,,,
24/10/2016,18:00:09,574417.9054,6552999.532,,,,,,,,,
24/10/2016,18:30:30,574420.274,6552945.286,,,,,,,,,
24/10/2016,19:00:08,574410.5628,6552922.124,,,,,,,,,
24/10/2016,19:30:07,574408.5357,6552890.388,,,,,,,,,
24/10/2016,20:00:20,574425.1695,6552874.488,,,,,,,,,
24/10/2016,20:30:15,574414.1813,6552877.306,,,,,,,,,
24/10/2016,21:00:13,574421.7771,6552882.177,,,,,,,,,
24/10/2016,21:30:30,574423.8421,6552876.746,,,,,,,,,
24/10/2016,22:00:07,574421.065,6552882.553,,,,,,,,,
24/10/2016,22:30:41,574428.3515,6552865.525,,,,,,,,,
24/10/2016,23:00:15,574424.9349,6552874.762,,,,,,,,,
24/10/2016,23:30:14,574428.2775,6552852.188,,,,,,,,,
25/10/2016,00:00:30,574414.9647,6552840.41,,,,,,,,,
25/10/2016,00:30:17,574417.6267,6552840.25,,,,,,,,,
25/10/2016,01:00:30,574416.6753,6552828.421,,,,,,,,,
25/10/2016,01:30:15,574408.0638,6552841.078,,,,,,,,,
25/10/2016,02:00:30,574421.3814,6552826.574,,,,,,,,,
