LMT_Date,LMT_Time,Y,X
16/10/2016,00:22:30,585409.6301,6551501.567
16/10/2016,00:30:15,585409.7717,6551520.222
16/10/2016,01:00:48,585435.7866,6551530.617
16/10/2016,01:30:07,585422.3666,6551524.636
16/10/2016,02:00:16,585428.7421,6551541.903
16/10/2016,02:30:30,585429.306,6551537.681
17/10/2016,03:00:14,585418.35,6551590.574
17/10/2016,03:30:14,585364.4602,6551709.309
17/10/2016,04:00:17,585362.0554,6551716.921
17/10/2016,04:30:47,585364.0334,6551707.361
17/10/2016,05:00:30,585362.1323,6551711.653
17/10/2016,05:30:10,585371.2047,6551709.704
17/10/2016,06:00:14,585358.9848,6551711.917
17/10/2016,06:30:14,585355.9994,6551735.862
17/10/2016,07:00:29,585365.3739,6551705.084
17/10/2016,07:30:14,585361.8785,6551713.53
17/10/2016,08:01:47,585389.0896,6551871.549
17/10/2016,08:30:19,585393.9567,6551918.498
17/10/2016,09:00:30,585418.4339,6551921.872
17/10/2016,09:30:14,585417.6888,6551916.707
17/10/2016,10:00:15,585422.89,6551930.294
17/10/2016,10:30:14,585419.2289,6551916.797
17/10/2016,11:00:29,585416.9495,6551918.763
17/10/2016,11:30:14,585416.243,6551921.923
17/10/2016,12:00:14,585414.5503,6551918.643
17/10/2016,12:30:07,585417.1878,6551921.71
17/10/2016,13:00:23,585419.1117,6551916.394
17/10/2016,13:30:11,585403.8196,6551919.653
17/10/2016,14:00:29,585348.3053,6551919.701
17/10/2016,14:30:14,585306.0956,6551899.109
17/10/2016,15:00:07,585306.4208,6551899.696
17/10/2016,15:30:22,585308.0338,6551902.695
17/10/2016,16:00:14,585270.0612,6551922.621
17/10/2016,16:30:29,585237.0933,6551947.717
17/10/2016,17:00:14,585243.4653,6552040.092
17/10/2016,17:30:14,585234.2225,6552045.881
17/10/2016,18:00:14,585215.9241,6552035.069
17/10/2016,18:30:15,585232.2882,6552037.983
17/10/2016,19:01:04,585229.2243,6552026.484
17/10/2016,19:30:07,585234.6993,6552065.479
17/10/2016,20:00:18,585228.1144,6552033.88
17/10/2016,20:30:29,585228.1309,6552043.217
17/10/2016,21:00:14,585229.8379,6552043.79
17/10/2016,21:30:15,585234.0551,6552037.666
17/10/2016,22:00:26,585296.4414,6552014.337
17/10/2016,22:30:07,585319.8926,6552003.482
17/10/2016,23:00:29,585322.6233,6552006.74
17/10/2016,23:30:13,585319.8403,6552008.16
18/10/2016,00:00:14,585315.4069,6552006.457
18/10/2016,00:30:14,585311.0962,6551997.415
18/10/2016,01:00:14,585299.8162,6551972.05
18/10/2016,01:30:29,585318.0007,6551987.997
18/10/2016,02:00:10,585305.8995,6551976.898
18/10/2016,02:30:17,585309.0242,6551981.525
18/10/2016,03:00:14,585306.5403,6551971.275
