LMT_Date,LMT_Time,Y,X,,,,,,,,,
04/11/2016,17:50:30,576052.0254,6552399.175,,,,,,,,,
04/11/2016,18:00:14,576051.8725,6552401.979,,,,,,,,,
04/11/2016,18:30:13,576076.9578,6552424.848,,,,,,,,,
04/11/2016,19:00:13,576086.9208,6552397.815,,,,,,,,,
04/11/2016,19:30:13,576088.4641,6552394.548,,,,,,,,,
04/11/2016,20:00:30,576094.5351,6552388.385,,,,,,,,,
04/11/2016,20:30:48,576088.2703,6552399.413,,,,,,,,,
04/11/2016,21:00:06,576108.5142,6552367.225,,,,,,,,,
04/11/2016,21:30:14,576108.7497,6552376.745,,,,,,,,,
04/11/2016,22:00:13,576108.2213,6552379.408,,,,,,,,,
04/11/2016,22:30:22,576113.1792,6552402.536,,,,,,,,,
05/11/2016,00:00:16,576433.8125,6552142.196,,,,,,,,,
05/11/2016,00:30:17,576652.0733,6551786.584,,,,,,,,,
05/11/2016,01:00:26,576699.6187,6551742.766,,,,,,,,,
05/11/2016,01:30:29,576698.7958,6551741.201,,,,,,,,,
05/11/2016,02:00:14,576661.1221,6551392.658,,,,,,,,,
05/11/2016,02:30:14,576658.305,6551383.577,,,,,,,,,
05/11/2016,03:00:13,576657.3878,6551384.439,,,,,,,,,
05/11/2016,03:30:14,576659.7265,6551381.578,,,,,,,,,
05/11/2016,04:00:47,576605.6794,6551367.721,,,,,,,,,
05/11/2016,04:30:14,576100.6735,6550987.428,,,,,,,,,
05/11/2016,05:00:14,576085.9066,6550907.953,,,,,,,,,
05/11/2016,05:30:17,576103.0771,6550810.984,,,,,,,,,
05/11/2016,06:00:30,576104.5923,6550806.558,,,,,,,,,
05/11/2016,06:30:13,576100.9876,6550805.896,,,,,,,,,
05/11/2016,07:00:13,576103.2834,6550807.802,,,,,,,,,
05/11/2016,07:30:21,576106.2165,6550813.431,,,,,,,,,
05/11/2016,08:00:07,576110.9315,6550822.593,,,,,,,,,
05/11/2016,08:30:21,576097.2175,6550811.269,,,,,,,,,
05/11/2016,09:00:17,576101.8799,6550806.582,,,,,,,,,
05/11/2016,09:30:13,576106.677,6550797.407,,,,,,,,,
05/11/2016,10:00:14,576104.0223,6550806.39,,,,,,,,,
05/11/2016,10:30:14,576103.7031,6550793.839,,,,,,,,,
05/11/2016,11:00:29,576101.0484,6550802.822,,,,,,,,,
05/11/2016,11:30:06,576103.0804,6550798.94,,,,,,,,,
05/11/2016,12:00:14,576098.8452,6550806.087,,,,,,,,,
05/11/2016,12:30:22,576099.9207,6550797.519,,,,,,,,,
05/11/2016,13:00:05,576096.7817,6550799.974,,,,,,,,,
05/11/2016,13:30:14,576101.353,6550806.549,,,,,,,,,
05/11/2016,14:00:36,576097.139,6550798.433,,,,,,,,,
05/11/2016,14:30:13,576080.7211,6550813.349,,,,,,,,,
05/11/2016,15:00:12,576080.3596,6550842.911,,,,,,,,,
05/11/2016,15:30:29,576088.3514,6550842.947,,,,,,,,,
05/11/2016,16:00:13,576084.7141,6550846.541,,,,,,,,,
