LMT_Date,LMT_Time,Y,X,,,,,,,,,
07.11.2016,07:30:07,594166.8118,6546178.595,,,,,,,,,
07.11.2016,08:00:19,594160.4438,6546168.99,,,,,,,,,
07.11.2016,08:30:12,594174.9328,6546176.855,,,,,,,,,
07.11.2016,09:00:26,594130.5121,6546202.822,,,,,,,,,
07.11.2016,09:30:11,594029.7726,6546215.881,,,,,,,,,
07.11.2016,10:00:04,594030.128,6546217.55,,,,,,,,,
07.11.2016,10:30:11,594030.2217,6546215.123,,,,,,,,,
07.11.2016,11:00:04,594031.0806,6546218.509,,,,,,,,,
07.11.2016,11:30:29,594031.9102,6546218.396,,,,,,,,,
07.11.2016,12:00:11,594031.3991,6546220.044,,,,,,,,,
07.11.2016,12:30:11,594029.8163,6546215.503,,,,,,,,,
07.11.2016,13:00:10,594013.0451,6546219.974,,,,,,,,,
07.11.2016,13:30:11,594014.3719,6546231.94,,,,,,,,,
07.11.2016,14:00:28,594022.6229,6546238.27,,,,,,,,,
07.11.2016,14:30:11,594031.7853,6546220.688,,,,,,,,,
07.11.2016,15:00:11,594030.8437,6546223.74,,,,,,,,,
07.11.2016,15:30:11,594030.3702,6546223.851,,,,,,,,,
07.11.2016,16:00:11,594031.2676,6546224.018,,,,,,,,,
07.11.2016,16:30:04,594032.7516,6546219.441,,,,,,,,,
07.11.2016,17:00:19,594000.6956,6546180.685,,,,,,,,,
07.11.2016,17:30:12,594139.7791,6546205.868,,,,,,,,,
07.11.2016,18:00:30,594153.2068,6546181.772,,,,,,,,,
07.11.2016,18:30:19,594177.6414,6546198.738,,,,,,,,,
07.11.2016,19:00:09,594165.7104,6546210.235,,,,,,,,,
07.11.2016,19:30:30,594174.5311,6546199.141,,,,,,,,,
07.11.2016,20:00:11,594174.5311,6546199.141,,,,,,,,,
07.11.2016,20:30:24,594176.5873,6546203.57,,,,,,,,,
07.11.2016,21:00:03,594177.1672,6546200.52,,,,,,,,,
07.11.2016,21:30:10,594259.7117,6546089.256,,,,,,,,,
07.11.2016,22:00:04,594168.7274,6546162.251,,,,,,,,,
07.11.2016,22:30:12,594169.2484,6546183.669,,,,,,,,,
07.11.2016,23:00:30,594168.0586,6546179.261,,,,,,,,,
07.11.2016,23:30:18,594170.3954,6546178.092,,,,,,,,,
08.11.2016,00:00:03,594169.3297,6546181.754,,,,,,,,,
08.11.2016,00:30:11,594167.1671,6546180.264,,,,,,,,,
08.11.2016,01:00:10,594167.9463,6546182.211,,,,,,,,,
08.11.2016,01:30:30,594129.8148,6546197.29,,,,,,,,,
