LMT_Date,LMT_Time,Y,X,,,,,,,,,
13.11.2016,08:50:39,584614.1182,6546565.947,,,,,,,,,
13.11.2016,09:00:15,584613.6453,6546566.048,,,,,,,,,
13.11.2016,09:30:14,584630.5103,6546628.712,,,,,,,,,
13.11.2016,10:00:14,584629.7924,6546647.783,,,,,,,,,
13.11.2016,10:30:08,584722.5998,6546659.061,,,,,,,,,
13.11.2016,11:00:47,584727.033,6546656.897,,,,,,,,,
13.11.2016,11:30:16,584726.9876,6546658.957,,,,,,,,,
13.11.2016,12:00:08,584725.6994,6546656.979,,,,,,,,,
13.11.2016,12:30:30,584728.1235,6546652.208,,,,,,,,,
13.11.2016,13:00:14,584728.6402,6546658.202,,,,,,,,,
13.11.2016,13:30:14,584725.0705,6546662.079,,,,,,,,,
13.11.2016,14:00:07,584763.6625,6546637.57,,,,,,,,,
13.11.2016,14:30:16,584761.2609,6546641.317,,,,,,,,,
13.11.2016,15:00:10,584765.6529,6546646.761,,,,,,,,,
13.11.2016,15:30:30,584761.9624,6546644.652,,,,,,,,,
13.11.2016,16:01:30,584873.12,6546802.263,,,,,,,,,
13.11.2016,16:30:14,584869.3466,6546821.366,,,,,,,,,
13.11.2016,17:00:20,584974.301,6546944.158,,,,,,,,,
13.11.2016,17:30:30,585121.2895,6546961.446,,,,,,,,,
13.11.2016,18:00:15,585340.507,6546961.387,,,,,,,,,
13.11.2016,18:30:16,585760.2247,6546985.793,,,,,,,,,
13.11.2016,19:00:59,585849.4541,6547054.589,,,,,,,,,
13.11.2016,19:30:15,585915.5336,6547126.414,,,,,,,,,
13.11.2016,20:00:15,585976.4957,6547067.787,,,,,,,,,
13.11.2016,20:30:30,585976.3329,6547069.422,,,,,,,,,
13.11.2016,21:00:15,585985.1438,6547016.227,,,,,,,,,
13.11.2016,21:30:14,586009.4167,6547013.438,,,,,,,,,
13.11.2016,22:00:29,586010.3371,6547012.578,,,,,,,,,
13.11.2016,22:30:08,586008.8231,6547018.683,,,,,,,,,
13.11.2016,23:00:15,586009.1761,6547020.351,,,,,,,,,
13.11.2016,23:30:19,586012.4275,6547017.148,,,,,,,,,
14.11.2016,00:00:14,586012.8495,6547015.732,,,,,,,,,
14.11.2016,00:30:09,586013.311,6547016.143,,,,,,,,,
14.11.2016,01:00:15,585837.6998,6547139.986,,,,,,,,,
14.11.2016,01:30:29,585691.456,6547236.825,,,,,,,,,
14.11.2016,02:00:29,585684.6249,6547255.948,,,,,,,,,
14.11.2016,02:30:14,585687.4744,6547251.443,,,,,,,,,
14.11.2016,03:00:08,585843.4766,6546847.819,,,,,,,,,
14.11.2016,03:30:09,585959.9009,6546728.637,,,,,,,,,
14.11.2016,04:00:29,586881.8814,6546793.942,,,,,,,,,
14.11.2016,04:30:14,587402.0354,6547106.91,,,,,,,,,
14.11.2016,05:00:08,587399.145,6547134.855,,,,,,,,,
14.11.2016,05:30:26,587401.4905,6547133.683,,,,,,,,,
14.11.2016,06:00:10,587399.8049,6547132.085,,,,,,,,,
14.11.2016,06:30:14,587400.7372,6547130.713,,,,,,,,,
14.11.2016,07:00:14,587401.765,6547126.904,,,,,,,,,
14.11.2016,07:30:23,587404.4396,6547128.424,,,,,,,,,
14.11.2016,08:00:14,587417.0862,6547078.817,,,,,,,,,
14.11.2016,08:30:08,587539.8918,6547098.656,,,,,,,,,
14.11.2016,09:00:14,587596.7576,6547085.978,,,,,,,,,
14.11.2016,09:30:08,587622.2607,6547072.32,,,,,,,,,
14.11.2016,10:00:29,587629.1204,6547069.267,,,,,,,,,
14.11.2016,10:30:14,587627.6546,6547071.629,,,,,,,,,
14.11.2016,11:00:29,587659.0259,6547068.722,,,,,,,,,
14.11.2016,11:30:15,587664.3033,6547067.606,,,,,,,,,
14.11.2016,12:00:14,587702.502,6547060.053,,,,,,,,,
14.11.2016,12:30:24,587700.7794,6547058.32,,,,,,,,,
14.11.2016,13:00:06,587699.8703,6547058.667,,,,,,,,,
14.11.2016,13:30:07,587701.1298,6547058.306,,,,,,,,,
14.11.2016,14:00:14,587695.1067,6547062.425,,,,,,,,,
14.11.2016,14:30:14,587702.7938,6547062.611,,,,,,,,,
14.11.2016,15:00:14,587705.4178,6547062.827,,,,,,,,,
14.11.2016,15:30:29,587699.2295,6547062.608,,,,,,,,,
14.11.2016,16:00:07,587689.354,6547040.065,,,,,,,,,
14.11.2016,16:30:07,587705.9849,6547026.862,,,,,,,,,
14.11.2016,17:00:14,587705.1168,6547025.16,,,,,,,,,
