,GMT_Date,GMT_Time,LMT_Date,LMT_Time,Lat,Lon,Z,CollarID,GMT,LMT,Y,X,00:00:00,,,,kaelus,,keskmine,mediaan,maksimum
28524,10.02.2017,22:18:17,11.02.2017,00:18:17,58.9802507,25.5788221,92.41,39790,2017-02-10 22:18:17,2017-02-11 00:18:17,590782.0554,6538984.231,,,,,90,Maru,53.9,15.1,10691.1
28534,10.02.2017,22:30:10,11.02.2017,00:30:10,58.9802057,25.5788078,91.92,39790,2017-02-10 22:30:10,2017-02-11 00:30:10,590781.3513,6538979.201,00:11:53,5.079505957,5.079505957,,,,,,
28542,10.02.2017,23:00:26,11.02.2017,01:00:26,58.9802027,25.5788323,99.13,39790,2017-02-10 23:00:26,2017-02-11 01:00:26,590782.7677,6538978.9,00:30:16,1.447966297,1.447966297,,,,,,
28550,10.02.2017,23:30:10,11.02.2017,01:30:10,58.9799141,25.5798825,97.46,39790,2017-02-10 23:30:10,2017-02-11 01:30:10,590843.9,6538948.184,00:29:44,68.41524065,68.41524065,,,,,,
28559,11.02.2017,00:00:03,11.02.2017,02:00:03,58.9799677,25.5798341,96.2,39790,2017-02-11 00:00:03,2017-02-11 02:00:03,590840.9769,6538954.087,00:29:53,6.587323647,6.587323647,,,,,,
28569,11.02.2017,00:30:03,11.02.2017,02:30:03,58.9804668,25.5800219,95.43,39790,2017-02-11 00:30:03,2017-02-11 02:30:03,590850.4641,6539009.92,00:30:00,56.63341859,56.63341859,,,,,,
28577,11.02.2017,01:00:11,11.02.2017,03:00:11,58.9805056,25.5799967,90.51,39790,2017-02-11 01:00:11,2017-02-11 03:00:11,590848.9135,6539014.207,00:30:08,4.558363891,4.558363891,,,,,,
28592,11.02.2017,01:30:03,11.02.2017,03:30:03,58.9805287,25.5799967,94.79,39790,2017-02-11 01:30:03,2017-02-11 03:30:03,590848.8529,6539016.779,00:29:52,2.573083877,2.573083877,,,,,,
28599,11.02.2017,02:00:30,11.02.2017,04:00:30,58.9804735,25.5799905,94.99,39790,2017-02-11 02:00:30,2017-02-11 04:00:30,590848.6413,6539010.624,00:30:27,6.158995917,6.158995917,,,,,,
28605,11.02.2017,02:30:18,11.02.2017,04:30:18,58.9804781,25.5799905,95.85,39790,2017-02-11 02:30:18,2017-02-11 04:30:18,590848.6293,6539011.136,00:29:48,0.512388994,0.512388994,,,,,,
28615,11.02.2017,03:00:11,11.02.2017,05:00:11,58.9804081,25.5803111,93.54,39790,2017-02-11 03:00:11,2017-02-11 05:00:11,590867.2439,6539003.775,00:29:53,20.01711422,20.01711422,,,,,,
28628,11.02.2017,03:30:11,11.02.2017,05:30:11,58.980365,25.5803451,104.59,39790,2017-02-11 03:30:11,2017-02-11 05:30:11,590869.3116,6538999.022,00:30:00,5.183720512,5.183720512,,,,,,
28636,11.02.2017,04:00:19,11.02.2017,06:00:19,58.9803545,25.5803144,105.3,39790,2017-02-11 04:00:19,2017-02-11 06:00:19,590867.5742,6538997.811,00:30:08,2.11768135,2.11768135,,,,,,
28640,11.02.2017,04:30:15,11.02.2017,06:30:15,58.9803558,25.5803751,95.88,39790,2017-02-11 04:30:15,2017-02-11 06:30:15,590871.0604,6538998.038,00:29:56,3.493555822,3.493555822,,,,,,
28648,11.02.2017,05:00:04,11.02.2017,07:00:04,58.9813512,25.5819894,106.21,39790,2017-02-11 05:00:04,2017-02-11 07:00:04,590961.2502,6539111.072,00:29:49,144.6057605,144.6057605,,,,,,
28659,11.02.2017,05:30:10,11.02.2017,07:30:10,58.981953,25.5834795,95.07,39790,2017-02-11 05:30:10,2017-02-11 07:30:10,591045.3298,6539180.109,00:30:06,108.7908862,108.7908862,,,,,,
28667,11.02.2017,06:00:11,11.02.2017,08:00:11,58.981984,25.5835886,102.33,39790,2017-02-11 06:00:11,2017-02-11 08:00:11,591051.52,6539183.709,00:30:01,7.161036829,7.161036829,,,,,,
28676,11.02.2017,06:30:10,11.02.2017,08:30:10,58.9814619,25.5873676,99.96,39790,2017-02-11 06:30:10,2017-02-11 08:30:10,591270.1366,6539130.705,00:29:59,224.9503309,224.9503309,,,,,,
