Pixel_Val,Name
0,Adams Humanities
3,Arena Meeting Center
5,Arts and Letters
7,Aztec Mesa
9,Bioscience Center
11,Chapultepec Hall
13,Children's Center
15,College Square
17,Cuicacalli
19,Education
21,Engineering Laboratory
23,ENS Annex
25,Faculty Staff Club
27,Gateway Center
29,HA
31,International Student Center
33,Library Information & Access Dome
35,Life Sciences South
37,Malcom A. Love Library
39,Music
41,NE 60
43,Open Air Theatre
45,Physical Plant Boiler Shop
47,Physics
49,Professional Studies and Fine Arts
51,Parking Structure 3
53,Parking Structure 6
55,Parking Structure 8
57,SDSU Bookstore
59,SDSU Transit Center
61,Storm Hall
63,Student Services East
65,Tacuba Hall
67,Tenocha Hall
69,Zapotec
71,West Commons
74,University Police
77,Tony Gwynn Stadium
79,The Pride Center
82,Tepeyac Hall
84,Tarastec
87,Student Services West
89,Storm Hall West
92,Speech - Language & Hearing Sciences
94,SDSU Garage
97,Scripps Cottage
99,Parking Structure 7
102,Parking Structure 4
105,Parking Structure 12
107,Parking Structure 1
110,Piedra Del Sol Apartments
112,Physical Sciences
115,Peterson Gym
117,Olmeca Hall
120,North Education
122,Nasatir Hall
125,Maya Hall
128,Manchester Hall
130,Little Theatre
133,Life Sciences North
135,KPBS
138,Inustrial Technology
140,Hepner Hall
143,Hardy Tower
145,Geology Mathmatics & Computer Science
148,Fraternity Row
150,Fowler Athletics
153,Facilities Services
156,Extended Studies Center
158,ENS
161,Engineering
163,Education and Business Administration
166,East Commons
168,Dramatic Arts
171,Conrad Prebsy Aztec Student Union
173,Communication
176,Cholula Community Center
179,Chill Plant
181,Chemical Sciences Labratory
184,Charles Hostler Hall
186,Calpulli Center
189,Business Services
191,Aztecs Shop Terrace
194,Aztec Softball Field
196,Aztec Aquaplex
199,Atkins Hall
201,Astromony and Physics
204,Art South
207,Art North
209,Aztec Recreation Center
212,Alumni Center
214,Administration
217,Unlabeled SDSU Structure
219,Land of the Little People
221,The Grenada
223,Toltec
225,Tula Community Center
227,Viejas Arena
229,Women's Resource Center
231,Zura Hall
