OFNumber,Name,City,Country,IATA,Lat,Lon
3731,San Diego International Airport,San Diego,United States,SAN,32.73360062,-117.1900024
3462,Phoenix Sky Harbor International Airport,Phoenix,United States,PHX,33.43429947,-112.012001
3720,Portland International Airport,Portland,United States,PDX,45.58869934,-122.5979996
3682,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,33.6367,-84.428101
3817,Sacramento International Airport,Sacramento,United States,SMF,38.69540024,-121.5910034
3577,Seattle Tacoma International Airport,Seattle,United States,SEA,47.449001,-122.308998
3469,San Francisco International Airport,San Francisco,United States,SFO,37.61899948,-122.375
3748,Norman Y. Mineta San Jose International Airport,San Jose,United States,SJC,37.362598,-121.929001
3585,Indianapolis International Airport,Indianapolis,United States,IND,39.7173,-86.294403
3867,John Wayne Airport-Orange County Airport,Santa Ana,United States,SNA,33.67570114,-117.8679962
3670,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,DFW,32.896801,-97.038002
3576,Miami International Airport,Miami,United States,MIA,25.79319954,-80.29060364
3876,Charlotte Douglas International Airport,Charlotte,United States,CLT,35.2140007,-80.94309998
3673,Austin Bergstrom International Airport,Austin,United States,AUS,30.19449997,-97.66989899
3678,St Louis Lambert International Airport,St. Louis,United States,STL,38.748697,-90.370003
3484,Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971
3550,George Bush Intercontinental Houston Airport,Houston,United States,IAH,29.9843998,-95.34140015
3752,Philadelphia International Airport,Philadelphia,United States,PHL,39.87189865,-75.2410965
3714,Washington Dulles International Airport,Washington,United States,IAD,38.94449997,-77.45580292
3536,Salt Lake City International Airport,Salt Lake City,United States,SLC,40.78839874,-111.9779968
