State,Statehood,Capital,Lat,Lon,Area,Nickname,ST
Alabama,1819,Montgomery,32.377716,-86.300568,52423,The Yellowhammer State,AL
Alaska,1959,Juneau,58.301598,-134.420212,656425,The Last Frontier,AK
Arizona,1912,Phoenix,33.448143,-112.096962,114006,The Grand Canyon State,AZ
Arkansas,1836,Little Rock,34.746613,-92.288986,53182,The Natural State,AR
California,1850,Sacramento,38.576668,-121.493629,163707,The Golden State,CA
Colorado,1876,Denver,39.739227,-104.984856,104100,The Centennial State,CO
Connecticut,1788,Hartford,41.764046,-72.682198,5544,The Constitution State,CT
Delaware,1787,Dover,39.157307,-75.519722,1954,The First State,DE
District of Columbia,1790,,38.9072,-77.0369,68,No not a state State,DC
Florida,1845,Tallahassee,21.307442,-157.857376,65758,The Sunshine State,FL
Georgia,1788,Atlanta,30.438118,-84.281296,59441,The Peach State,GA
Hawaii,1959,Honolulu,33.749027,-84.388229,10932,The Aloha State,HI
Idaho,1890,Boise,43.617775,-116.199722,83574,The Gem State,ID
Illinois,1818,Springfield,39.798363,-89.654961,57918,The Prairie State,IL
Indiana,1816,Indianapolis,39.768623,-86.162643,36420,The Hoosier State,IN
Iowa,1846,Des Moines,41.591087,-93.603729,56276,The Hawkeye State,IA
Kansas,1861,Topeka,39.048191,-95.677956,82282,The Sunflower State,KS
Kentucky,1792,Frankfort,38.186722,-84.875374,40411,The Bluegrass State,KY
Louisiana,1812,Baton Rouge,30.457069,-91.187393,51843,The Pelican State,LA
Maine,1820,Augusta,44.307167,-69.781693,35387,The Pine Tree State,ME
Maryland,1788,Annapolis,38.978764,-76.490936,12407,The Old Line State,MD
Massachusetts,1788,Boston,42.358162,-71.063698,10555,The Bay State,MA
Michigan,1837,Lansing,42.733635,-84.555328,96810,The Wolverine State,MI
Minnesota,1858,Saint Paul,44.955097,-93.102211,86943,The North Star State,MN
Mississippi,1817,Jackson,32.303848,-90.182106,48434,The Magnolia State,MS
Missouri,1821,Jefferson City,38.579201,-92.172935,69709,The Show-Me State,MO
Montana,1889,Helena,46.585709,-112.018417,147046,The Treasure State,MT
Nebraska,1867,Lincoln,40.808075,-96.699654,77358,The Cornhusker State,NE
Nevada,1864,Carson City,39.163914,-119.766121,110567,The Silver State,NV
New Hampshire,1788,Concord,43.206898,-71.537994,9351,The Granite State,NH
New Jersey,1787,Trenton,40.220596,-74.769913,8722,The Garden State,NJ
New Mexico,1912,Santa Fe,35.68224,-105.939728,121593,The Land of Enchantment,NM
New York,1788,Albany,35.78043,-78.639099,54475,The Empire State,NY
North Carolina,1789,Raleigh,46.82085,-100.783318,53821,The Tar Heel State,NC
North Dakota,1889,Bismarck,42.652843,-73.757874,70704,The Peace Garden State,ND
Ohio,1803,Columbus,39.961346,-82.999069,44828,The Buckeye State,OH
Oklahoma,1907,Oklahoma City,35.492207,-97.503342,69903,The Sooner State,OK
Oregon,1859,Salem,44.938461,-123.030403,98386,The Beaver State,OR
Pennsylvania,1787,Harrisburg,40.264378,-76.883598,46058,The Keystone State,PA
Rhode Island,1790,Providence,41.830914,-71.414963,1545,The Ocean State,RI
South Carolina,1788,Columbia,34.000343,-81.033211,32007,The Palmetto State,SC
South Dakota,1889,Pierre,44.367031,-100.346405,77121,The Mount Rushmore State,SD
Tennessee,1796,Nashville,36.16581,-86.784241,42146,The Volunteer State,TN
Texas,1845,Austin,30.27467,-97.740349,268601,The Lone Star State,TX
Utah,1896,Salt Lake City,40.777477,-111.888237,84904,The Beehive State,UT
Vermont,1791,Montpelier,44.262436,-72.580536,9615,The Green Mountain State,VT
Virginia,1788,Richmond,37.538857,-77.43364,42769,The Old Dominion,VA
Washington,1889,Olympia,47.035805,-122.905014,71303,The Evergreen State,WA
West Virginia,1863,Charleston,38.336246,-81.612328,24231,The Mountain State,WV
Wisconsin,1848,Madison,43.074684,-89.384445,65503,The Badger State,WI
Wyoming,1890,Cheyenne,41.140259,-104.820236,97818,The Equality State,WY
