Polygon,Zipcode,Latitude,Longitude
0,92101,32.71841645,-117.1751553
1,92102,32.71258482,-117.1005534
2,92103,32.74726843,-117.1671217
3,92104,32.74275884,-117.1269043
4,92105,32.74119108,-117.0918821
5,92106,32.71195043,-117.2336741
6,92107,32.74079217,-117.2436532
7,92108,32.77415922,-117.1420795
8,92109,32.78676009,-117.2327883
9,92110,32.75187843,-117.2039439
10,92111,32.80584052,-117.1693098
11,92113,32.69792342,-117.122051
12,92114,32.7093725,-117.068526
13,92115,32.75990324,-117.0715746
14,92116,32.76471074,-117.1226697
15,92117,32.82498998,-117.1996368
16,92118,32.66067423,-117.1501662
17,92119,32.80808973,-117.0294221
18,92120,32.79386416,-117.0720283
19,92121,32.89336017,-117.2057372
