Site,Latitude,Longitude,Elevation,Camera AGL,Azimuth,URL
69Bravo,34.074584,-118.627886,748,5,90,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/69bravo-e-mobo-c.jpg
Boucher Hill,33.334621,-116.919379,1664,35,270,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/bh-w-mobo-c.jpg
Black Mountain,32.981533,-117.116325,475,35,90,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/bl-e-mobo-c.jpg
Big Black,33.159918,-116.808073,1236,4,90,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/bm-e-mobo-c.jpg
Chino Hills,33.913838,-117.738295,541,8,90,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/chino-e-mobo-c.jpg
Cuyamaca,32.94642,-116.606681,1980,35,0,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/cp-n-mobo-c.jpg
Green Peak,34.086415,-118.548778,592,15,90,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/dwpgm-e-mobo-c.jpg
High Point,33.363017,-116.836221,1871,20,90,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/hp-e-mobo-c.jpg
Lyons Peak,32.701535,-116.764569,1132,35,90,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/lp-e-mobo-c.jpg
Upper Talega,33.519102,-117.480964,689,7,90,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/marconi-e-mobo-c.jpg
Mesa Grande,33.188909,-116.760598,1304,20,90,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/mg-e-mobo-c.jpg
Monument Peak,32.892248,-116.420871,1910,10,90,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/ml-e-mobo-c.jpg
Mt Laguna Observatory,32.839655,-116.426511,1872,10,90,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/mlo-e-mobo-c.jpg
Mt Soledad,32.839899,-117.248574,220,10,0,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/ms-n-mobo-c.jpg
Otay Mountain,32.594801,-116.844701,1087,35,90,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/om-e-mobo-c.jpg
Los Pinos,32.734671,-116.577749,1465,15,90,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/pi-e-mobo-c.jpg
Red Mountain,33.400792,-117.190469,483,35,90,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/rm-e-mobo-c.jpg
San Clemente,33.431428,-117.597393,268,15,90,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/sclm-e-mobo-c.jpg
Santiago,33.71115, -117.534103,1728,30,90,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/stgo-e-mobo-c.jpg
SDSC,32.884421,-117.239676,125,30,90,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/sdsc-e-mobo-c.jpg
Sagebrush Flats,33.53656,-116.59299,1468,5,45,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/sgbf-mobo-c.jpg
Signal Peak,33.605201,-117.81091,358,10,90,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/signal-e-mobo-c.jpg
San Juan Hills,33.502922,-117.603147,342,20,90,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/sjh-e-mobo-c.jpg
SMER TCS3,33.452747,-117.178623,427,4,90,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/smer-tcs3-mobo-c.jpg
San Miguel,32.696862,-116.936117,773,35,90,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/sm-e-mobo-c.jpg
Sky Oaks,33.378659,-116.622291,1512,4,180,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/sojr-s-mobo-c.jpg
Upper Bell,33.612445,-117.548648,534,5,90,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/starr-e-mobo-c.jpg
Santa Ynez Peak,34.52707,-119.97887,1310,25,90,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/syp-e-mobo-c.jpg
Tijuana Estuary,32.55957,-117.12886,3,3,315,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/tje-1-mobo-c.jpg
Toro Peak,33.52351,-116.425689,2657,25,90,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/tp-e-mobo-c.jpg
Vic Trace,34.405368,-119.715598,140,5,45,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/victrace-ne-mobo-c.jpg
Volcan Tract III,33.138258,-116.617024,1670,20,90,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/vo-e-mobo-c.jpg
Mt Woodson,33.008732,-116.970913,877,25,90,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/wc-e-mobo-c.jpg
Mt Wilson,34.224509,-118.058668,1713,50,90,https://c1.hpwren.ucsd.edu/archive/incoming/cameras/wilson-e-mobo-c.jpg
