Site,Latitude,Longitude,Elevation (m),Camera AGL (m),Azimuth,URLN,URLE,URLS,URLW
69Bravo,34.074584,-118.627886,748,5,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/69bravo-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/69bravo-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/69bravo-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/69bravo-w-mobo-c.jpg
Boucher Hill,33.334621,-116.919379,1664,35,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/bh-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/bh-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/bh-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/bh-w-mobo-c.jpg
Black Mountain,32.981533,-117.116325,475,35,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/bl-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/bl-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/bl-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/bl-w-mobo-c.jpg
Big Black,33.159918,-116.808073,1236,4,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/bm-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/bm-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/bm-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/bm-w-mobo-c.jpg
Chino Hills,33.913838,-117.738295,541,8,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/chino-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/chino-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/chino-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/chino-w-mobo-c.jpg
Cuyamaca,32.94642,-116.606681,1980,35,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/cp-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/cp-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/cp-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/cp-w-mobo-c.jpg
Green Peak,34.086415,-118.548778,592,15,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/dwpgm-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/dwpgm-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/dwpgm-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/dwpgm-w-mobo-c.jpg
High Point,33.363017,-116.836221,1871,20,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/hp-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/hp-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/hp-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/hp-w-mobo-c.jpg
Lyons Peak,32.701535,-116.764569,1132,35,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/lp-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/lp-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/lp-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/lp-w-mobo-c.jpg
Upper Talega,33.519102,-117.480964,689,7,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/marconi-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/marconi-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/marconi-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/marconi-w-mobo-c.jpg
Mesa Grande,33.188909,-116.760598,1304,20,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/mg-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/mg-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/mg-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/mg-w-mobo-c.jpg
Monument Peak,32.892248,-116.420871,1910,10,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/ml-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/ml-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/ml-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/ml-w-mobo-c.jpg
Mt Laguna Observatory,32.839655,-116.426511,1872,10,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/mlo-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/mlo-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/mlo-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/mlo-w-mobo-c.jpg
Mt Soledad,32.839899,-117.248574,220,10,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/ms-n-mobo-c.jpg,,,
Otay Mountain,32.594801,-116.844701,1087,35,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/om-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/om-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/om-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/om-w-mobo-c.jpg
